,"I am someone who Is outgoing, sociable","I am someone who Is compassionate, has a soft heart",I am someone who Tends to be disorganized,"I am someone who Is relaxed, handles stress well",I am someone who Has few artistic interests,I am someone who Has an assertive personality,"I am someone who Is respectful, treats others with respect",I am someone who Tends to be lazy,I am someone who Stays optimistic after experiencing a setback,I am someone who Is curious about many different things,I am someone who Rarely feels excited or eager,I am someone who Tends to find fault with others,"I am someone who Is dependable, steady","I am someone who Is moody, has up and down mood swings","I am someone who Is inventive, finds clever ways to do things",I am someone who Tends to be quiet,I am someone who Feels little sympathy for others,"I am someone who Is systematic, likes to keep things in order",I am someone who Can be tense,"I am someone who Is fascinated by art, music, or literature","I am someone who Is dominant, acts as a leader",I am someone who Starts arguments with others,I am someone who Has difficulty getting started on tasks,"I am someone who Feels secure, comfortable with self","I am someone who Avoids intellectual, philosophical discussions",I am someone who Is less active than other people,I am someone who Has a forgiving nature,I am someone who Can be somewhat careless,"I am someone who Is emotionally stable, not easily upset",I am someone who Has little creativity,"I am someone who Is sometimes shy, introverted",I am someone who Is helpful and unselfish with others,I am someone who Keeps things neat and tidy,I am someone who Worries a lot,I am someone who Values art and beauty,I am someone who Finds it hard to influence people,I am someone who Is sometimes rude to others,"I am someone who Is efficient, gets things done",I am someone who Often feels sad,"I am someone who Is complex, a deep thinker",I am someone who Is full of energy,I am someone who Is suspicious of others’ intentions,"I am someone who Is reliable, can always be counted on",I am someone who Keeps their emotions under control,I am someone who Has difficulty imagining things,I am someone who Is talkative,I am someone who Can be cold and uncaring,"I am someone who Leaves a mess, doesn’t clean up",I am someone who Rarely feels anxious or afraid,I am someone who Thinks poetry and plays are boring,I am someone who Prefers to have others take charge,"I am someone who Is polite, courteous to others","I am someone who Is persistent, works until the task is finished","I am someone who Tends to feel depressed, blue",I am someone who Has little interest in abstract Ideas,I am someone who Shows a lot of Enthusiasm,I am someone who Assumes the best about people,I am someone who Sometimes behaves irresponsibly,"I am someone who Is temperamental, gets emotional easily","I am someone who Is original, comes up with new Ideas"
i love photography. i don t like waking up early. i enjoy spending a lot of money on my hobbies. i like to use candles instead of lights. i love the sound of the rain.,2,4,4,4,1,2,4,4,3,4,2,1,2,4,4,4,1,2,2,5,2,1,4,4,4,4,3,3,4,1,4,2,2,2,5,3,1,2,2,4,2,1,2,2,2,2,1,2,4,1,2,4,2,2,2,5,3,4,3,4
i am a business man. i love to sing. i am a karate black belt. my wife has terminal cancer. i have 3 children.,4,5,2,2,1,5,5,1,4,4,2,2,5,4,4,2,1,4,5,5,5,2,2,2,2,1,4,2,2,1,2,5,4,5,5,2,2,5,5,5,4,2,5,2,2,4,1,1,2,1,1,5,5,5,2,5,4,2,4,4
my favorite color is black. i do not like pickles. my favorite tv show is rick and morty. i own an iphone.,1,3,2,3,2,4,4,2,3,4,2,2,4,4,4,4,2,2,4,2,2,2,3,4,2,3,3,4,3,2,3,3,2,3,3,4,2,4,3,4,2,4,4,4,2,2,4,2,2,4,2,4,4,1,2,4,3,3,2,4
i once drove a car ! my friend told me what to do while i drove. i have a job as a dj at a radio station. i am blind. i have many friends. i use a cane to help me get around.,5,5,2,5,1,5,5,1,5,5,2,1,5,2,5,2,1,2,2,5,2,1,2,5,2,2,5,2,5,1,2,5,2,2,4,2,1,5,2,5,4,2,5,4,2,5,1,1,4,1,4,5,5,2,2,5,5,2,1,4
my favorite color is green. i work at mcdonalds. my name is gerald. i like basketball.,4,4,2,2,2,2,5,2,5,2,2,2,4,2,2,2,2,2,3,2,2,2,2,4,4,2,4,4,3,2,2,4,2,3,2,2,2,5,2,2,4,2,4,4,2,2,2,2,2,2,2,5,4,2,4,4,4,2,2,2
my favorite food is anything italian. i love most music except country and jazz. my favorite book that i have read lately is middlesex. my favorite tv shows are forensic files and jeopardy. i am a gym rat that loves to play racquetball.,2,3,1,2,2,4,4,1,4,4,1,2,4,2,3,2,2,4,4,4,4,1,1,4,2,1,3,2,4,1,2,4,3,2,2,2,1,5,2,4,5,2,5,4,2,3,2,1,4,4,1,4,5,1,2,5,3,2,2,3
i m a student living at home while pursuing my music industry degree. i dream of playing music for a living. my dad works in the automotive industry. both my parents are creative.,4,4,2,2,1,3,5,2,4,5,1,2,3,4,5,2,1,2,4,5,2,2,2,4,2,2,4,4,3,1,2,4,2,4,5,2,2,3,2,4,4,2,4,2,1,3,2,2,2,1,1,4,4,2,2,5,4,2,4,5
i am a soccer player. i joined a new team last month. nike cleats are my favorite. my number is 42. i am a goalie.,4,3,1,2,5,4,5,1,5,2,1,1,5,2,2,2,2,2,4,1,4,1,1,4,5,1,4,2,4,1,2,5,2,2,2,2,1,5,2,2,5,2,5,4,1,2,1,2,2,1,1,4,5,1,5,5,4,2,2,2
i don t much like tv. i love animals. i love to watch ted talks. i love to walk in the woods. i like to stay fit.,2,5,2,5,2,3,5,1,4,5,2,1,4,2,3,4,1,2,2,1,2,1,2,5,1,1,4,2,4,2,4,4,3,2,2,3,1,4,2,5,4,2,4,4,2,2,1,1,4,4,1,4,4,2,2,4,4,2,1,4
i am a 30 year old female. i have 3 dogs and 2 cats. i work as a vet. i like to ride my bike. i am a vegan.,2,5,2,4,2,4,5,1,4,5,2,1,5,2,4,2,1,4,4,2,2,1,2,5,1,1,5,2,4,2,2,5,4,2,3,2,1,5,2,5,5,2,5,4,2,2,1,1,4,2,1,5,5,1,2,4,4,1,2,4
i drive a nice car. i work all the time. i take pride in my job managing the restaurant. my family is very important to me. my brothers work with me.,4,3,1,2,5,4,5,1,4,2,2,1,5,1,2,1,1,5,2,1,5,1,1,5,5,1,3,1,4,1,1,4,4,2,2,1,1,5,1,2,4,2,5,4,2,2,1,1,4,1,1,5,5,1,4,4,4,1,1,2
i have trouble getting motivated. i slack off on my homework. i m a hopeless romantic. i have bad luck with relationships. i daydream during work.,2,4,5,2,2,1,3,5,2,2,4,2,1,4,2,2,2,1,4,3,1,1,5,2,4,4,3,4,2,2,4,2,1,4,3,4,1,1,4,4,1,2,1,2,2,2,2,4,2,2,4,3,1,4,2,2,4,5,4,2
my brother lives in england. i have a timeshare in mexico. my favorite food is sushi. my favorite tv show is friends. i own my own business.,4,4,2,4,3,4,5,2,4,4,2,2,4,2,4,2,2,2,2,2,4,2,2,5,2,2,4,2,4,2,2,4,4,2,3,2,2,5,2,4,4,2,5,4,2,4,2,2,4,5,1,5,5,1,2,4,4,2,2,4
i enjoy shopping online. i am a mother. i used to work for monsanto. i enjoy swimming. i read fantasy fiction novels.,2,5,2,4,2,3,5,2,4,4,2,2,4,2,4,2,1,4,4,4,2,1,2,4,2,2,4,2,4,2,2,4,4,2,3,4,1,4,2,4,3,2,4,4,2,2,1,1,4,2,2,5,4,2,2,4,4,2,2,3
"i recently moved to sweden. i enjoy hiking on glaciers. marduk is my favorite band. lutefisk is the best dish in the whole world. i always seem to be losing things , most recently , my mind.",1,3,5,1,1,2,4,2,2,5,2,2,1,4,2,2,2,1,4,4,2,2,5,2,2,2,2,5,1,2,2,3,1,5,4,4,2,1,4,5,2,2,1,1,2,2,2,4,1,2,2,4,2,4,2,5,2,5,5,4
i enjoy mystery flavour cake. i tend to aruge with myself more than i argue with myself. i believe i hear voices. i collect toys wearing little rain coats. i am lusting after the neighbour pool boy.,2,4,4,2,2,2,3,2,2,4,2,2,2,5,4,2,2,1,4,3,1,2,4,2,2,2,4,4,1,2,2,2,1,5,3,2,2,2,4,5,2,4,2,1,2,2,2,2,1,2,2,3,2,4,2,5,2,4,4,5
i like to go to the opera. i enjoy classical music. i love to vacation in paris. i am six feet tall.,2,4,1,4,1,3,5,1,4,5,1,1,4,1,3,2,1,3,2,5,2,1,1,5,1,1,4,2,4,1,2,4,4,2,5,2,1,2,2,4,2,1,4,4,2,2,1,1,4,1,1,5,4,1,1,5,1,2,1,3
i prefer to live where the weather s cold. i m really excited to see how game of thrones ends. i m deathly terrified of heights. winter s my favorite time of the year.,2,4,2,2,3,2,4,2,3,4,2,2,4,4,3,4,1,2,4,3,2,1,2,3,2,2,3,2,2,2,4,3,3,4,3,3,1,3,2,4,2,2,4,2,2,2,2,1,1,1,2,4,3,2,2,5,3,2,2,3
i sometimes spend too much money at the casino. i once met a man i still believe was a vampire. my favorite food is shrimp. my mom is a palm reader in new orleans.,4,4,4,2,2,2,4,2,2,5,2,2,2,4,4,2,2,1,4,2,2,2,4,2,2,2,4,5,2,1,2,2,1,4,4,2,2,2,2,5,4,4,2,2,2,4,2,2,2,2,2,4,2,2,2,4,2,5,4,5
i am a teacher. i drink coffee every day. i have a twin sister. i do yoga every morning. i love chocolate.,3,5,2,5,3,3,5,1,4,4,2,1,5,2,4,2,1,4,2,3,3,1,2,5,1,2,4,2,4,2,2,5,3,2,3,2,1,4,2,4,4,1,5,4,2,3,1,1,4,1,2,5,4,1,2,4,4,2,2,4
i also love orange juice. i like to watch tv. i am 10 years old. i love ham and cheese sandwiches. my name is arnold.,2,4,2,2,5,2,4,2,4,2,1,1,3,1,1,2,1,2,2,1,2,1,1,4,5,4,3,4,3,2,1,4,2,1,1,1,2,2,2,2,5,1,3,3,2,4,1,1,4,5,2,4,3,1,5,5,4,2,1,2
"i graduated with a business degree , and marketing is all that i really enjoyed. i like spending time with friends playing sports and going to country concerts. unfortunately , my family lives across the country from me. i am recent college graduate looking for a job in marketing.",4,3,2,3,4,2,5,1,4,3,2,1,4,2,3,2,1,2,2,2,2,1,2,3,4,2,3,2,4,1,2,4,2,2,2,2,1,4,4,2,4,1,4,3,2,4,1,1,2,5,1,5,4,2,2,4,4,2,1,3
i am a teacher. my dad worked for home depot. i like to work puzzles. i love country music. i am an aspiring fiction writer.,2,5,2,4,1,2,5,1,4,5,2,2,5,2,4,4,1,4,4,5,2,1,2,4,1,2,4,2,4,1,4,5,4,2,4,2,1,4,2,5,2,2,5,4,2,2,1,1,2,1,2,5,5,2,2,4,4,2,2,4
i work on trucks. i have a doberman. i am twenty five years old. my favorite food is pizza.,2,4,2,3,2,4,4,2,4,3,2,2,4,2,4,2,2,2,4,1,4,2,2,4,2,2,4,4,4,2,2,4,2,2,2,2,2,4,2,2,4,2,4,4,2,2,2,2,4,2,2,4,5,2,4,4,3,2,2,2
i have a daughter. i am a great cook. i am under 6 feet tall. i sell paper products for a living.,2,5,2,4,2,2,5,2,4,4,2,2,4,2,4,2,1,4,4,2,2,2,2,4,2,2,4,2,4,1,2,5,4,2,2,2,2,4,2,3,2,2,5,4,2,2,1,2,3,2,2,5,4,2,2,4,4,2,2,3
favorite color is green. i like cars. i got a new job. i like cats.,2,4,2,3,4,3,4,2,4,4,2,2,4,2,3,3,1,2,3,1,2,1,2,4,5,2,3,2,4,2,2,4,2,2,2,3,1,4,2,3,4,2,4,4,2,2,1,2,4,2,2,4,4,1,2,5,4,2,2,3
"i have six older sisters. i am an avid fan of the boston celtics. i love walking in the park. i work for a small , family owned restaurant. i love chocolate.",3,5,2,4,4,2,5,2,4,4,2,2,4,2,2,4,1,2,3,2,2,2,2,4,2,2,4,2,4,2,4,5,2,2,2,2,1,4,2,3,3,2,5,4,2,2,1,2,3,2,2,5,4,2,2,5,4,2,2,2
i am a fourteen year old living with my mom and grandparents. i am a girl who loves sports cars and video games. i like swimming. i only have three best friends. my favorite thing to do is research race cars in my free time.,2,3,2,2,5,2,4,1,3,5,1,2,4,2,2,2,2,2,4,1,2,1,2,4,2,2,3,2,3,2,4,3,2,2,2,4,1,3,2,4,4,2,4,3,2,2,2,2,2,5,1,4,4,1,2,5,3,2,2,3
i like to run. my favorite drink is coke. i like bagels with everything on them. i like to make cookies. i like to train dogs.,3,4,2,2,4,4,5,1,4,4,1,1,4,2,3,2,1,2,2,1,4,1,2,4,5,1,2,2,4,2,2,4,2,2,2,2,1,4,1,2,5,2,4,4,2,2,1,2,4,5,1,4,5,1,4,5,3,2,2,3
i have 5 children. i have an internship at a computer company. i am a student. i like to go fishing.,2,4,4,5,5,2,5,1,4,4,2,2,4,2,4,2,1,5,4,2,2,1,2,4,1,2,4,4,5,2,2,4,5,4,2,2,1,4,2,4,4,2,4,4,2,2,1,2,5,2,2,4,5,2,2,4,4,2,2,3
i get along better with animals than people. i have several different breeds of pets. i enjoy watching animal videos on the internet. i m always looking for wildlife when i m outside.,1,5,2,4,3,2,3,2,3,4,2,1,3,2,2,4,1,2,2,1,1,1,2,4,4,2,4,2,4,2,5,2,2,2,2,5,1,2,2,3,2,2,3,2,2,1,1,1,4,2,1,2,2,2,4,4,2,2,2,2
i wear a lot of leather. i have boots i always wear. i sleep in late during the day. i listen to metal music. i have black spiky hair.,1,1,4,1,1,5,2,5,2,2,1,2,2,4,2,1,4,1,5,5,5,5,4,5,5,5,1,5,2,1,1,2,1,2,4,4,4,1,2,4,2,4,2,1,2,2,4,5,5,5,1,2,2,4,4,4,1,5,4,4
we have two pets as well. i am currently a stay at home mom while my husband is the sole provider. i love to take my children on nature walks. i am thirty years old.,2,5,2,4,2,2,5,1,4,4,2,1,5,2,2,4,1,4,2,2,2,1,2,4,4,2,4,2,4,2,4,5,4,2,3,2,1,4,2,3,3,2,5,4,2,2,1,1,4,1,2,5,4,2,2,4,4,1,2,2
i live in a house with a yard. my parents taught me to find inspiration in the world. since my dog died i m incomplete. i am an artist and create with my mind and my hands.,2,5,2,2,1,2,4,1,2,5,2,1,3,4,5,4,1,2,4,5,2,1,2,2,1,2,4,2,2,1,4,4,2,4,5,2,1,2,5,5,2,1,3,2,1,2,1,1,2,1,1,4,4,4,1,3,4,2,4,5
i dyed my hair pink. i work in a bookstore. i live in the city. i have an older brother.,4,4,2,4,1,4,5,2,4,5,2,2,3,4,4,2,2,2,4,5,2,2,2,4,2,2,4,4,3,1,4,4,2,4,5,2,2,4,2,4,4,2,4,2,2,4,2,2,2,2,2,4,4,2,2,5,4,4,4,4
i am single. i enjoy reading. i work at a doctor s office. my favorite flower is a lily.,2,5,2,4,2,2,5,2,4,4,2,1,4,2,2,4,1,4,3,4,2,1,2,4,2,3,4,2,4,2,4,5,4,2,4,4,1,4,2,4,2,2,4,4,2,2,1,1,3,1,2,5,4,1,2,2,4,2,1,2
my brother raised me after our parents died. i am quiet but confident. i m not really a blond. i often worry about where to park when i go somewhere new.,2,4,2,2,2,4,5,1,4,3,2,1,4,2,2,5,1,4,4,2,2,1,2,4,2,2,4,2,4,2,4,4,4,4,2,2,1,4,2,4,2,2,4,4,2,1,1,1,2,2,2,4,4,2,2,2,3,2,1,2
i am in high school. i love bruno mars. i love sweets. i cs and ds. i sleep a lot.,2,3,4,2,2,2,4,5,2,2,2,2,2,4,2,2,2,2,2,4,2,1,4,3,2,5,3,4,2,2,4,3,2,2,4,4,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,2,2,2,5,3,4,2,2
my favorite season is duck hunting season. i like tailgate parties. i didn t go to college because i run the family farm. i had a girlfriend who eloped with my best friend one day.,4,2,4,2,5,4,2,1,2,1,2,5,4,5,2,2,4,1,5,1,5,5,2,2,5,2,2,4,2,4,1,2,1,2,1,2,4,4,2,1,5,5,4,2,2,2,4,4,2,5,1,2,5,2,5,5,1,4,5,1
"i am a true believer in god first. i love adventure that is why i have been a sales person all my life. i am a fitness guru. i am 5 3 an love movie time. i am a carefree , funloving , free spirited person.",5,5,1,5,1,5,5,1,5,5,1,1,2,1,4,1,1,1,2,2,4,1,1,5,1,1,5,4,4,1,1,5,2,1,3,1,1,4,1,2,5,1,4,2,1,5,1,1,5,1,1,5,5,1,2,5,5,4,1,4
i am a happy person. i love to knit and crochet. i love to go to the lake. i love to listen to music. i love to take walks.,2,5,1,5,1,2,5,1,5,4,1,1,4,1,3,2,1,2,2,4,2,1,2,5,1,2,5,2,5,1,2,5,3,1,5,2,1,3,1,2,4,1,5,4,2,2,1,1,5,1,1,5,4,1,2,5,5,1,1,3
i will study computer science. i like playing games online. i am on my way to uc santa cruz where i was accepted. i am a vegetarian. i just graduated from high school.,2,4,2,3,4,3,5,1,4,5,2,1,4,2,4,3,1,3,3,1,2,1,2,4,1,2,3,2,4,1,3,4,2,2,2,4,1,4,2,4,4,2,4,3,2,2,1,2,3,1,1,4,4,2,2,4,4,2,2,3
i like long walks on the beach. my favorite color is blue. my favorite tv show is game of thrones. my favorite music genre is pop. i enjoy home cooked meals.,2,5,2,5,2,2,1,2,4,3,2,2,4,2,2,4,1,2,2,4,2,1,2,5,2,2,4,2,4,2,2,4,3,2,4,4,1,3,2,3,2,1,4,4,2,2,1,1,4,1,2,5,1,1,2,4,4,2,2,2
i have red hair. i have lots of friends. i don t like music. i like to ride my scooter.,5,4,2,4,4,4,4,2,4,2,2,1,4,2,4,2,2,2,2,1,2,1,2,4,4,1,4,4,4,2,2,4,2,2,2,2,1,3,2,2,5,1,4,3,2,4,1,2,4,4,2,4,2,1,4,4,4,4,2,4
i won a lottery 6 years ago but nobody knows. i am a painter. i live a lie. i paint organic scenes with pretty trees.,1,4,2,2,1,2,4,2,2,2,2,2,2,4,4,5,2,1,5,5,1,1,2,2,4,2,2,2,2,1,5,2,2,5,5,5,1,2,2,5,2,5,2,2,1,1,2,2,2,1,1,4,3,2,2,2,2,4,2,4
starbucks is my favorite hang out spot. i collect little figurines. i spend my weekends browsing antique stores. i have a cat. subway is my favorite fast food restaurant.,2,5,2,4,1,2,5,2,4,5,2,1,4,2,2,4,1,2,2,4,2,1,2,4,2,4,4,2,4,2,4,4,2,2,5,2,1,2,2,4,2,2,4,2,2,2,1,1,4,2,2,4,2,2,2,5,4,2,2,3
madonna is my sister. i am next in line to become queen of england. my favorite color is blue. i have five cats. my husband is the ceo of taco bell.,5,5,1,5,1,5,5,1,5,1,1,1,5,4,5,1,1,2,4,5,5,1,1,5,5,1,5,2,1,1,1,5,5,2,5,1,1,5,1,5,5,1,5,2,1,5,1,1,5,1,1,5,1,1,5,5,5,1,4,5
i am a military veteran. i love travelling and discovering new cultures. i have been married for 20 years. i volunteer at my local animal shelter. my favorite sport is football.,4,5,2,4,3,4,5,1,5,5,1,1,5,2,3,2,1,4,2,2,4,1,2,5,2,1,4,2,4,2,2,5,4,2,2,2,1,5,2,4,4,2,5,4,2,3,1,1,4,1,1,5,5,1,2,4,4,1,2,3
i enjoy talking to strangers. i want to live at the beach. my favorite animal is a monkey. i love honey.,5,5,2,4,2,4,5,2,4,5,1,2,3,2,4,1,1,2,2,3,2,1,2,5,2,2,4,4,4,2,1,5,2,2,3,2,1,2,2,3,4,1,4,2,2,5,1,2,4,1,2,5,3,1,2,5,5,2,2,4
"my parents are lawyers. i don t like wearing a swimsuit. if i can t order it on the internet , i don t need it. winter is my favorite season.",1,2,2,2,4,4,4,4,2,2,2,2,4,2,2,4,2,4,4,2,2,2,2,4,4,4,3,2,4,2,4,2,4,2,2,4,2,4,2,4,2,2,4,4,2,2,2,2,2,4,2,4,3,2,4,2,3,2,2,2
"i am a famous video game character online. i start an internship in engineering later this year. my dream is to move to the middle of the desert. before i die , i want to skydive. i have a pet snake.",2,2,2,4,1,4,5,1,4,5,1,2,4,2,5,2,2,2,4,2,5,2,2,4,2,2,4,4,4,1,2,4,2,2,2,2,2,4,2,5,4,2,4,4,2,2,2,1,4,5,1,4,5,2,2,5,4,4,2,5
my father worked 11 hours a day. i own a iphone 7. my mother use to read me bed time stories. i drink hot chocolate during the winter. i am allergic to seafood.,2,4,2,2,3,2,4,2,3,3,2,2,4,2,2,4,2,2,3,3,2,1,2,4,5,3,3,2,4,2,3,3,3,3,2,3,1,4,2,3,2,2,4,3,2,2,1,2,4,2,2,4,4,2,4,2,3,2,2,2
i work in public relations. i am from seattle. i am a vegan. my parents raised me as a buddhist. my favorite band is bon over.,4,5,2,4,1,4,5,1,5,5,2,1,4,2,4,4,1,2,4,5,2,1,2,4,1,2,5,2,4,1,4,5,4,2,5,2,1,4,2,5,4,2,5,4,2,4,1,1,4,2,2,5,5,2,2,4,5,2,2,4
"since i have fibromyalgia , the harsher winters here in pa will be rough on me. i grew up on a large farm. i just moved from va to pa. i enjoy doing beadwork and writing my own patterns.",2,5,2,2,1,2,5,1,4,4,2,1,4,4,5,4,1,4,5,4,2,1,4,3,2,5,4,2,2,1,4,4,2,4,5,4,1,2,4,4,1,2,3,2,2,2,1,1,2,1,1,5,4,4,2,3,4,2,2,5
i would travel the world if i could. i like listening to all genres of music except country music. i like spending time with my friends and family. i like to read a lot of books.,4,4,2,4,1,3,5,2,4,5,1,1,4,2,3,2,1,2,2,5,2,1,2,4,1,2,4,2,4,1,2,4,2,2,4,3,1,3,2,4,3,2,4,3,2,3,1,1,3,2,2,5,3,2,2,5,4,2,2,3
i am excellent at playing pool. i teach middle school art. i would love to visit the pyramids. i want to write a book before i die. i still like unicorns even though i m an adult.,4,5,2,4,1,4,5,1,4,5,1,1,4,2,4,2,1,2,2,5,2,1,2,5,2,2,4,2,4,1,2,5,2,2,5,2,1,4,2,4,4,2,4,3,1,2,1,1,2,1,1,5,4,1,2,5,4,2,2,4
i am going bald. i make my own clothes. i ran into jimmy fallon just the other day. i play the piano.,4,4,2,4,1,4,4,1,4,5,2,2,4,2,5,2,2,2,4,5,2,2,2,4,2,2,4,4,4,1,2,4,2,2,5,2,2,4,2,4,4,2,4,2,2,4,2,2,2,2,1,4,4,2,2,4,4,4,2,5
"i ve never been to the west coast of the united states. i was once on the local news , and not for anything illegal. i ve been to canada two times my entire life. my father use to drive a taxi cab in the 1970 s. my uncle use to work on fish boats in florida.",2,4,2,3,3,2,4,2,3,4,4,2,4,2,2,4,2,2,2,2,2,1,3,3,4,3,3,2,3,4,4,3,2,2,2,4,1,3,3,2,2,2,3,3,2,2,2,2,3,4,2,4,3,2,4,2,3,2,2,2
my mother and father are both in the church choir. i own my own music store. i played in a band for 17 years. i hope to retire to florida. i am an animal rights activist.,5,5,2,4,1,4,5,1,5,4,2,2,5,2,4,2,1,4,2,5,4,1,2,5,1,1,5,2,4,1,2,5,4,2,5,2,1,4,2,4,4,2,5,4,2,4,1,1,4,1,1,5,5,2,2,5,4,2,2,4
i have a beautiful rose garden. i love starbucks coffee. my parents met at woodstock. i was a swimmer in college.,4,5,2,4,1,4,5,1,4,5,2,2,4,2,4,2,1,2,2,5,2,2,2,5,2,2,4,2,4,1,2,5,4,2,1,2,1,4,2,5,4,2,4,4,2,4,1,2,4,1,2,5,4,1,2,5,4,2,2,4
my mother was an rn. i am a technician. my father was a dry wall finisher. i love history. i love to play softball.,4,5,2,4,2,3,5,1,4,5,2,2,5,2,2,2,1,4,4,2,2,1,2,4,2,2,4,2,4,2,2,5,4,2,2,2,1,4,2,4,4,2,5,4,2,2,1,1,2,2,2,5,5,2,2,4,4,2,2,2
i was a mechanic for 6 years. i collect bugs in jars. i build my own computers. i ran for political office in 2004. i thought of joining the military when i was younger.,2,2,2,2,2,5,4,1,4,5,2,2,4,2,5,2,2,4,4,2,4,2,2,4,2,2,3,2,4,1,2,4,2,2,2,2,2,5,2,5,4,2,5,4,2,2,2,1,4,2,1,4,5,2,2,5,2,2,2,5
i am considered a nerd by many. i love computers. i am very good at math and science. i started working at google last week on self driving car research. i i love logical and rational thinking.,1,2,1,2,4,2,5,1,4,5,1,1,5,1,5,2,2,5,2,1,2,1,1,4,1,2,2,1,4,2,4,4,4,2,2,2,1,5,1,5,2,2,5,5,1,1,2,1,2,4,1,4,5,1,1,4,2,1,1,4
"my mother is a professional make up artist. i want a dog , but that is a lot of commitment. i sometimes think i m shallow. if i want it , i buy it.",4,2,2,2,2,5,3,4,2,2,2,2,2,4,2,1,4,1,2,2,2,2,2,2,4,2,2,4,3,2,1,2,2,2,5,2,2,4,2,2,2,2,2,2,2,2,2,4,4,4,1,3,2,2,4,4,2,4,4,2
i sleep on a single bed. i drive a van. my favorite food is pizza. i prefer winter. i love the rain.,2,4,4,4,3,2,4,4,3,3,2,2,4,4,3,4,2,2,3,2,2,1,2,4,3,4,3,4,4,2,4,4,2,2,2,4,2,3,2,3,2,2,4,3,3,2,2,2,3,2,2,4,3,2,4,2,3,3,2,3
my parents are both dead. i find joy in the littlest things. i listen to music for more than 5 hours a day. i refuse to ride the bus.,1,5,2,4,1,2,4,2,5,4,2,1,2,4,3,4,1,2,2,5,1,1,2,2,5,2,4,4,2,1,4,4,2,2,5,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,4,4,2,2,5,2,4,4,4
i m a receptionist at a doctors office. i m also a fulltime student studying radiology at local college. my weekends are spent studying and looking over client files. my name is mary.,2,5,1,2,5,2,5,1,4,4,2,2,5,2,2,4,1,5,4,1,2,1,2,3,1,4,4,1,4,2,4,5,4,4,2,2,1,5,2,5,2,2,5,4,2,2,1,1,2,2,1,5,5,2,2,2,4,1,1,2
my husband is the ceo of taco bell. i have five cats. i am next in line to become queen of england. my favorite color is blue.,2,5,1,5,1,5,5,1,5,5,1,2,5,2,5,1,1,2,4,2,5,1,1,5,1,1,5,2,5,1,1,5,4,2,5,1,1,5,2,5,4,2,5,5,1,5,1,1,5,1,1,1,5,1,1,5,5,2,1,5
"my hair is a reddish brown. my family is very supportive of my skiing. i am a competitive ski racer. although i ski down high hills , i have a fear of heights. i broke my arm skiing once.",4,3,2,2,5,4,5,1,5,3,1,1,4,2,3,2,1,2,4,1,4,1,1,4,5,1,4,4,2,1,2,4,2,4,2,3,1,4,2,4,5,1,4,4,2,3,1,1,2,1,1,4,5,1,5,5,3,2,2,3
my mother was a weightlifter. i have blonde hair. i love money. i have brown eyes.,2,2,2,2,3,4,3,1,4,3,2,2,3,2,3,2,2,2,3,1,4,2,2,4,1,2,3,3,3,2,2,2,3,3,2,2,3,4,2,3,4,2,3,4,2,3,2,2,2,1,2,3,4,1,2,4,3,3,2,3
i am not much of a fan of hot weather. i like spending time with my friends and family. i would travel the world if i could. i like to read a lot of books. i like listening to all genres of music except country music.,4,4,2,4,2,2,5,2,4,5,2,1,4,2,3,4,1,2,2,5,2,1,2,4,1,2,4,2,4,2,4,4,3,2,4,4,1,3,2,4,2,2,4,3,2,3,1,1,3,2,2,5,3,2,2,3,4,2,2,3
my favorite food is pizza. i also like eating sushi. i am studying for my master s. cooking is one of my pass times. i am a student in social sciences.,2,4,2,2,2,3,5,2,4,5,2,2,4,2,4,3,1,3,4,2,2,1,2,4,1,2,3,2,4,2,2,4,3,2,2,3,1,4,2,4,3,2,4,3,2,2,1,2,2,1,2,4,4,1,2,4,4,2,2,3
"i do not like wearing a swimsuit. my parents are lawyers. if i cannot order it on the internet , i do not need it. winter is my favorite season.",1,2,2,2,4,4,4,4,2,2,4,2,2,4,2,4,2,2,4,1,1,1,2,2,4,4,2,2,2,4,4,2,2,2,1,4,2,4,2,3,1,2,2,2,2,1,2,2,2,4,1,4,2,2,4,1,2,2,2,2
i live on a beet farm. i think beets are the best vegetable. my favorite animal is a bear. i am a paper salesman.,4,4,2,4,2,4,5,2,5,4,2,2,4,2,4,2,2,4,2,2,2,2,2,5,2,2,4,2,4,2,2,4,2,2,2,2,2,4,2,4,4,2,4,4,2,4,2,2,4,2,2,5,5,2,2,5,4,2,2,4
i went to college and graduated few years ago. i live in the city. now i also work at a bank. my father used to work for a bank.,3,3,2,3,4,3,4,1,4,3,2,2,4,2,2,2,2,4,3,2,2,1,2,4,2,2,3,2,4,2,2,4,4,2,2,2,1,4,2,4,2,2,4,4,2,2,2,1,3,2,2,4,4,2,2,2,3,2,2,2
we will be traveling to niagra falls for our honeymoon. we are getting married in a park. my family hates my fiancé. my dog is the ring bearer.,2,5,2,2,1,5,4,2,5,4,1,4,4,4,5,2,2,2,5,3,4,2,2,2,4,3,4,4,2,1,2,5,2,5,4,4,4,4,4,4,4,5,4,2,2,4,2,1,2,2,1,4,5,4,4,5,2,4,4,5
